# e/kb [K], tau_e [s·K²], error e/kb [K], error tau_e [s·K²]
3.345833966140266966e+03,2.989745903487550796e-07,3.253211837707921461e+01,5.440317581000780078e-08
3.258055944899930182e+03,3.002537249045768120e-06,9.318585288189235882e+01,1.543555245197920361e-06
3.187290499547612853e+03,8.255484196193539450e-07,4.723728498783497542e+01,2.181148627514633252e-07
3.286688156184313357e+03,4.518467474173806379e-07,3.117783216484086140e+01,7.829216797039294056e-08
3.471035510997160600e+03,1.870905828958784885e-07,2.554545437882791248e+01,2.659089241071705306e-08
3.358470434251644292e+03,1.660998105983371442e-06,4.958058590148089451e+01,4.452337225908325584e-07
3.200851720156623287e+03,3.112771377677183266e-07,2.351094936462954621e+01,4.173670484253830263e-08
3.001974474635372644e+03,2.665951221478433380e-06,1.613497830278084848e+02,2.497368399117565888e-06
2.984178270755136509e+03,1.921401460741521589e-06,5.979156248690068765e+01,6.646579212102781522e-07
3.136639378621711785e+03,7.549113198185392304e-07,6.828842005274374571e+01,2.990905429438651392e-07
3.033268267634968652e+03,2.097579487266268048e-06,9.139569780966290580e+01,1.079781902290543540e-06
3.886032839914240867e+03,2.477467296440952528e-09,3.942485419436415839e+01,5.679756171581834379e-10
3.181021625314725497e+03,3.247647882523863925e-06,3.989888768881671410e+01,7.073161052398207189e-07
3.384228024953794829e+03,2.393051440690071959e-07,3.450154000323581016e+01,4.700652126098705204e-08
2.485660810265798773e+03,7.349943212635049586e-08,2.787766977798509060e+02,1.602314638233795912e-07
3.212410674060740348e+03,4.844291350047146810e-07,3.445973688617697661e+01,9.352836808173395486e-08
4.080031869792339421e+03,1.001271670423018296e-09,2.653012895766108414e+01,1.533859546640654331e-10
3.764117706928395364e+03,5.204926611449003433e-09,4.087221137301457929e+01,1.240712873690839273e-09
3.544250629286489584e+03,6.026423219016130113e-09,3.395342012371863660e+01,1.234671709052999179e-09
3.942685124704625650e+03,3.108658759252212755e-09,2.091267667759753976e+02,3.876210132361608670e-09
2.976043245230215234e+03,8.260205513417555171e-06,5.229022201340968934e+01,2.321508816727763860e-06
2.681201873598048678e+03,1.722155307066099070e-08,6.059282730028107977e+01,8.061405489545031379e-09
3.374571295137606739e+03,3.289452655746981105e-07,4.948710622011099503e+01,9.044928759921769609e-08
3.427101844450940462e+03,2.357646416333824804e-07,3.055346392170836722e+01,4.073292925125503777e-08
3.476005174409717256e+03,1.880479229336855815e-07,2.980547283249471491e+01,3.086479109015147184e-08
3.064482010224487567e+03,2.284501869134094427e-06,1.058554323065369402e+02,1.376067140653495092e-06
4.309538323600349941e+03,3.217043083648174789e-10,1.274591716779438286e+02,2.391903621812398401e-10
3.871029245688066112e+03,5.033635055925132855e-09,1.541738788210407733e+02,4.644827892195033239e-09
3.416107789829988633e+03,2.389181313450446095e-07,3.167572789013646783e+01,4.210297102989795080e-08
2.807451371934144845e+03,7.405234073083536178e-06,2.361654752471883967e+02,1.023873507157838858e-05
2.385577843312902587e+03,2.434400875970054039e-07,1.811087550638839971e+01,3.150259122977882926e-08
3.481961166124388456e+03,1.729197454064344568e-07,3.615645722907756010e+01,3.561140119494494962e-08
3.706204146199325805e+03,9.260961292604472867e-09,5.331897781820841686e+01,2.783798064373764105e-09
2.745881553872610766e+03,1.557664430609551108e-05,2.012889513975805755e+02,1.803325389255719757e-05
2.838464165026577575e+03,5.718521248462223475e-09,1.377397278093472366e+01,5.792212238426307754e-10
3.050300618546456008e+03,2.137136196223616542e-06,9.100436566315735831e+01,1.085854366365136535e-06
2.688916231824623537e+03,1.804995133105999228e-08,3.127092305682705842e+01,4.253005899224545798e-09
3.892153715471648866e+03,2.651761940941624266e-09,1.022223391164414892e+02,1.592101915286654130e-09
3.231951954852122981e+03,7.558518507225734955e-07,4.563715011742345240e+01,1.930619391482017042e-07
3.531075979570117852e+03,1.326302976949419438e-07,3.947931341828557805e+01,2.882344134036328662e-08
3.966099886335474821e+03,1.659032696328298538e-09,3.437174968044263323e+01,3.292642437812558639e-10
3.410575652822312350e+03,2.467732491502681568e-07,2.566983495911165036e+01,3.532321463916573506e-08
3.428513915696793902e+03,2.390156799419615985e-07,3.284664159946679973e+01,4.371360754931318203e-08
4.217264267527336415e+03,6.736381423338593363e-10,3.616436220689562333e+02,1.458804072366471194e-09
3.269765434915069363e+03,4.158041401511793277e-07,2.678829200881683192e+01,6.240149963362744408e-08
3.256341941113951179e+03,6.640267239488802635e-07,5.334804297409448992e+01,1.982332138430656872e-07
3.221910767025921359e+03,5.480745010570353132e-07,3.987583927444048015e+01,1.228605497514931193e-07
4.018863707866011737e+03,1.496353931417301642e-09,3.998276261550504529e+01,3.489036919130941208e-10
3.349460173931064219e+03,2.523047889287185882e-07,2.634777778733689857e+01,3.720407226032047196e-08
3.146453162125629660e+03,4.615446507585556558e-06,4.413808314963058876e+01,1.108030962701805441e-06
3.381831973683338219e+03,2.127586595011235513e-07,2.564148721884281201e+01,3.048064459245717422e-08
3.472509686682436040e+03,1.864634688878847611e-07,2.643048938493474154e+01,2.742253825357065018e-08
2.967341651989734601e+03,2.175641692740991214e-06,7.697147072942891555e+01,9.824087517523331708e-07
3.370064646638199520e+03,3.083855212904961719e-07,4.480860228855046756e+01,7.754361325549211798e-08
3.055972240043947750e+03,1.530294039645787303e-06,4.950597724905055230e+01,4.184538058243018422e-07
2.797578123095977844e+03,3.667731320596470601e-06,6.686985476211994239e+01,1.448257660949456285e-06
4.034969528139089562e+03,1.466774641447271475e-09,2.997751836700170713e+01,2.527087853963496542e-10
4.114484006557706380e+03,9.500510036695807683e-10,2.191175045097065066e+01,1.182168698282048192e-10
3.891501340928396985e+03,3.211682075981241407e-09,3.742322996176118011e+01,6.655807522426270776e-10
3.964964390851582721e+03,1.453132489088684628e-09,2.263811186089054672e+01,1.888337108627140346e-10
4.134849205874167637e+03,3.799193230383221719e-09,1.017996240127662730e+02,2.201254786877520222e-09
3.405815625608756363e+03,2.263696388659681225e-07,3.436340323586717460e+01,4.333516320703132274e-08
3.120611235181810571e+03,1.630964090260082844e-06,1.652592694300833784e+02,1.534222083360065257e-06
3.282999307175821286e+03,3.747225887538295454e-07,8.624687795848407745e+01,1.763778429339929781e-07
3.772685118169699308e+03,2.543767718905734237e-08,3.819825544405682081e+02,5.602329444503598675e-08
2.709872213416538671e+03,1.436169421408902157e-08,2.563343325447778298e+01,2.756968709616366128e-09
3.195223589676271786e+03,9.464489330878960815e-07,6.703150975592654959e+01,3.522841677116870913e-07
3.141526646589373740e+03,1.227554815713625046e-06,8.607533060741121744e+01,5.948433712985813347e-07
3.535002954650788070e+03,4.282360554176360369e-11,1.890884141805186047e+01,5.942162329644834342e-12
2.849519883564904831e+03,5.073273605996599226e-09,3.870737213765764295e+01,1.487130175382924308e-09
3.404362313580519640e+03,2.235198847708022403e-07,2.715580229767911646e+01,3.393318230553598935e-08
3.073393929464126359e+03,2.042839721203982197e-06,1.495904582485110552e+02,1.744762274486274579e-06
3.282148534324703633e+03,4.883440848250872589e-07,8.402385008802710331e+01,2.369546258229610479e-07
3.362833770957106026e+03,1.500936713055918501e-07,2.628884230556918311e+01,2.266501177392243164e-08
4.126231493122940265e+03,9.013236787357218493e-10,2.616278262188087922e+01,1.319593066105122340e-10
3.082246830896986012e+03,1.687887200794670128e-06,8.144524400871858916e+01,7.746025737031988953e-07
3.292802007582140504e+03,2.345012979991417084e-06,4.150669240378338998e+01,5.280359543188940836e-07
