# E [eV], error E [eV], sigma [cm^2], error sigma [cm^2]
2.883216637377458147e-01,2.803401038386336714e-03,7.216356561975173018e-16,1.313130694643233833e-16
2.807575357202103938e-01,8.030135338921150570e-03,7.185612028951778889e-17,3.694005418446549968e-17
2.746594433553466996e-01,4.070593505736759717e-03,2.613422769345015169e-16,6.904818971278677696e-17
2.832248708304793694e-01,2.686697795756612991e-03,4.774864643492202623e-16,8.273480336371541207e-17
2.991106972316279200e-01,2.201336792122320779e-03,1.153188520423714724e-15,1.639008729661751348e-16
2.894105897732333066e-01,4.272523954276762070e-03,1.298922114782488395e-16,3.481785310544641479e-17
2.758280596061040701e-01,2.026016832101642205e-03,6.931145493624763450e-16,9.293428113467562968e-17
2.586901426828142059e-01,1.390404894544565104e-02,8.092821943572350815e-17,7.581068313314349103e-17
2.571565885187790390e-01,5.152438320386852101e-03,1.122882168776877201e-16,3.884313401859188744e-17
2.702946701114943839e-01,5.884641134817659124e-03,2.857961404827412462e-16,1.132304236514346062e-16
2.613868334148520267e-01,7.875871869741335810e-03,1.028569796653381958e-16,5.294822244356160804e-17
3.348724001960909913e-01,3.397371399810934518e-03,8.708519140797407021e-14,1.996485280800680692e-14
2.741192344951028370e-01,3.438220057267723194e-03,6.643291528724929646e-17,1.446864675807066191e-17
2.916302088422877969e-01,2.973112708113154461e-03,9.015716789998407963e-16,1.770950180952377503e-16
2.141976871143884964e-01,2.402311560917739022e-02,2.935409614858076208e-15,6.399300460466550867e-15
2.768241328015801916e-01,2.969510228381087771e-03,4.453710402375735349e-16,8.598744712654768507e-17
3.515899439188684417e-01,2.286189626271488765e-03,2.154767098352547236e-13,3.300912411517158700e-14
3.243665687716159041e-01,3.522094705017520845e-03,4.145125517802618864e-14,9.880851456558180295e-15
3.054198886033203664e-01,2.925879430860789474e-03,3.580079156007429079e-14,7.334736339767549130e-15
3.397543187067510462e-01,1.802115286812469575e-02,6.940316230069186399e-14,8.653934005566300542e-14
2.564555644485590480e-01,4.506022938860133019e-03,2.611929175576025456e-17,7.340757934244768068e-18
2.310481019445421447e-01,5.221486502603763305e-03,1.252794900297844035e-14,5.864331081280099759e-15
2.907980535429683933e-01,4.264468869956589830e-03,6.558863280039767708e-16,1.803474844009259593e-16
2.953247875104733078e-01,2.632893720225521015e-03,9.151106007332884987e-16,1.581031569685605983e-16
2.995389488261069877e-01,2.568436786973864010e-03,1.147317647950233787e-15,1.883121969688114089e-16
2.640766299778196102e-01,9.121915738674947136e-03,9.444104864274358289e-17,5.688646204229606866e-17
3.713672788455696927e-01,1.098358168266022963e-02,6.706491155223488947e-13,4.986343130488765762e-13
3.335794879381929756e-01,1.328567555145939404e-02,4.286180327268223933e-14,3.955107491112029280e-14
2.943773925794009316e-01,2.729602969142355152e-03,9.030319847432763023e-16,1.591353841168174872e-16
2.419274316833323890e-01,2.035116232829116412e-02,2.913487689355261723e-17,4.028289036218945656e-17
2.055731930077087932e-01,1.560674445497569566e-03,8.862579722585432835e-16,1.146870342943796850e-16
3.000521984495375105e-01,3.115722443423352746e-03,1.247692839051719228e-15,2.569520947532104191e-16
3.193759643111822033e-01,4.594674787081926524e-03,2.329679766255862129e-14,7.002900580563733565e-15
2.366217589897052498e-01,1.734574025502962080e-02,1.385090618624392540e-17,1.603534810220986113e-17
2.445999167219143067e-01,1.186949068769896538e-03,3.772841096273433338e-14,3.821459109058799542e-15
2.628545699002508562e-01,7.842149202031519634e-03,1.009531913936338075e-16,5.129315589225624108e-17
2.317128718851992064e-01,2.694719565244611467e-03,1.195297960310393307e-14,2.816411526485133272e-15
3.353998540265378803e-01,8.808839460234680827e-03,8.136125451857052217e-14,4.884880673783289660e-14
2.785080708532063354e-01,3.932705189743999907e-03,2.854404844625864091e-16,7.290805963516631648e-17
3.042845839315106438e-01,3.402063866046514760e-03,1.626707535541426015e-15,3.535188290866226638e-16
3.417720443734030278e-01,2.961928196968276715e-03,1.300460886400502434e-13,2.580993547801855959e-14
2.939006684339076636e-01,2.212055185246541728e-03,8.742872036567872723e-16,1.251457933066604575e-16
2.954464716163046623e-01,2.830504578609076196e-03,9.026635399253931963e-16,1.650882481677517807e-16
3.634157125442605274e-01,3.116403160038468470e-02,3.202767858524660824e-13,6.935786155941302372e-13
2.817665860792649135e-01,2.308436103555230011e-03,5.188758852094468241e-16,7.786990583761840200e-17
2.806098387762178126e-01,4.597178464194526075e-03,3.249127361835476279e-16,9.699683934289069927e-17
2.776427908115713938e-01,3.436233777827319390e-03,3.936522393440118555e-16,8.824407629368776856e-17
3.463188771694387103e-01,3.445448280034167556e-03,1.441842641196200780e-13,3.361933723535870751e-14
2.886341464628964237e-01,2.270475682583536665e-03,8.551194371627260522e-16,1.260932204393728010e-16
2.711403537214744364e-01,3.803525751366190061e-03,4.674535852436358729e-17,1.122216560876585916e-17
2.914237322354421567e-01,2.209612422596042482e-03,1.014063203170321705e-15,1.452786953763512440e-16
2.992377320192948220e-01,2.277603501449665651e-03,1.157066936089699958e-15,1.701658476583907913e-16
2.557057202107070326e-01,6.632888676270962819e-03,9.916648218539349190e-17,4.477852592424762151e-17
2.904096987602019508e-01,3.861306706213796756e-03,6.996135069925155268e-16,1.759179896856753884e-16
2.633433121100012264e-01,4.266095165509180276e-03,1.409864440969682651e-16,3.855227451105714774e-17
2.410766302730866506e-01,5.762398405904736211e-03,5.882402531216803977e-17,2.322753234468058258e-17
3.477067704764127409e-01,2.583262641119968978e-03,1.470919257673246570e-13,2.534228542395748274e-14
3.545587969915143800e-01,1.888208560926452366e-03,2.270937987776056448e-13,2.825776495528894730e-14
3.353436388999080919e-01,3.224884614632787284e-03,6.717685789384120351e-14,1.392156041877270172e-14
3.416741954703574891e-01,1.950801578852678735e-03,1.484728490304435264e-13,1.929395967701729730e-14
3.563137344840192622e-01,8.772412816763270130e-03,5.678855587779223540e-14,3.290332241472468077e-14
2.934904831745748788e-01,2.961209075694247114e-03,9.530903745737435491e-16,1.824552475930330324e-16
2.689134700317952209e-01,1.424094077622325982e-02,1.322841627517216364e-16,1.244376062087855120e-16
2.829069920142622818e-01,7.432181172865934618e-03,5.757612012883114169e-16,2.710045397748363063e-16
3.251048482921671257e-01,3.291671385153648738e-02,8.481540907231046942e-15,1.867953279516904533e-14
2.335187196315279545e-01,2.208918497671286379e-03,1.502265089572768820e-14,2.883850631340433236e-15
2.753430669369704153e-01,5.776328614181151094e-03,2.279581440537886084e-16,8.484984566478328236e-17
2.707158208328160898e-01,7.417398035069916115e-03,1.757564857772465427e-16,8.516734041768789355e-17
3.046229852575220165e-01,1.629437850005846598e-03,5.038125868754317958e-12,6.990854891649260776e-13
2.455526253152735816e-01,3.335543266554064686e-03,4.252692555310416390e-14,1.246593016936231973e-14
2.933652454771624174e-01,2.340105908175889402e-03,9.652416864887899454e-16,1.465360500634145629e-16
2.648445959743933598e-01,1.289070861579306483e-02,1.056131305742798136e-16,9.020277478719519081e-17
2.828336655281680767e-01,7.240615419829874583e-03,4.418002666816951095e-16,2.143706114305724641e-16
2.897865953006253936e-01,2.265397411663538051e-03,1.437440684751183822e-15,2.170618767471455445e-16
3.555711186596234308e-01,2.254534377121419908e-03,2.393709599861211954e-13,3.504537784736719597e-14
2.656074810973622080e-01,7.018407696179580074e-03,1.278229457089319520e-16,5.866030414617579029e-17
2.837517226236819234e-01,3.576769843197388256e-03,9.200406113692533066e-17,2.071692163223243233e-17
